,code_before,comment,code_after
12,"public void shouldSaveCondition() throws DotSecurityException, DotDataException { final Role role = new RoleDataGen().nextPersisted(); final User user = new UserDataGen().roles(role).nextPersisted(); final Host host = new SiteDataGen().nextPersisted(); final Rule rule = new RuleDataGen().host(host).nextPersisted(); final ConditionGroup conditionGroup = new ConditionGroupDataGen().rule(rule).next(); <START> this.addRulesPermission(role, host, true); <END> rulesAPI.saveConditionGroup(conditionGroup, user, false); List<Rule> allRules = rulesAPI.getAllRules(user, false); checkCondition(user, conditionGroup, allRules); }",create a variable for parameter understand boolean addPublishPermsForRules = true;,"public void shouldSaveCondition() throws DotSecurityException, DotDataException { final Role role = new RoleDataGen().nextPersisted(); final User user = new UserDataGen().roles(role).nextPersisted(); final Host host = new SiteDataGen().nextPersisted(); final Rule rule = new RuleDataGen().host(host).nextPersisted(); final ConditionGroup conditionGroup = new ConditionGroupDataGen().rule(rule).next(); addRulesPublishPermissions(role, host); rulesAPI.saveConditionGroup(conditionGroup, user, false); List<Rule> allRules = rulesAPI.getAllRules(user, false); createConditionAndCheck(user, conditionGroup, allRules); }"
13,"public synchronized void clearCache(HelixConstants.ChangeType changeType) { switch (changeType) { case LIVE_INSTANCE: case INSTANCE_CONFIG: <START> LOG.warn(""clearCache is deprecated for changeType: "" + changeType); <END> break; case EXTERNAL_VIEW: _externalViewCache.clear(); break; default: break; } }","nit: For new log, please do this """"clearCache is deprecated for changeType: {}"", changeType"". Minor performance improvement if config log level error","public synchronized void clearCache(HelixConstants.ChangeType changeType) { switch (changeType) { case LIVE_INSTANCE: case INSTANCE_CONFIG: LOG.warn(""clearCache is deprecated for changeType: {}."", changeType); break; case EXTERNAL_VIEW: _externalViewCache.clear(); break; default: break; } }"
14,"public List<RassXmlAgencyEntry> sortRassXmlAgencyEntriesForUpdate(List<RassXmlAgencyEntry> agencies) { AgenciesSortHelper agencySortHelper = new AgenciesSortHelper(); sortAgenciesWithNoReportsToAgency(agencies, agencySortHelper); sortAgenciesWithReportsToAgencyThatHasBeenSorted(agencySortHelper); <START> sortLeftOverAgencies(agencySortHelper); <END> return agencySortHelper.sortedAgencies; }",left agencies: agencies reports agency sorted? sense update method name more descriptive,"public List<RassXmlAgencyEntry> sortRassXmlAgencyEntriesForUpdate(List<RassXmlAgencyEntry> agencies) { AgenciesSortHelper agencySortHelper = new AgenciesSortHelper(); sortAgenciesWithNoReportsToAgency(agencies, agencySortHelper); sortAgenciesWithReportsToAgencyThatHasBeenSorted(agencySortHelper); sortAnyUnsortedAgencies(agencySortHelper); return agencySortHelper.sortedAgencies; }"
15,"private void handleCreateTableMutationCode(MetaDataMutationResult result, MutationCode code, CreateTableStatement statement, String schemaName, String tableName, PTable parent) throws SQLException { switch(code) { case NEWER_TABLE_FOUND: if (!statement.ifNotExists()) { throw new NewerTableAlreadyExistsException(schemaName, tableName, result.getTable()); } case UNALLOWED_TABLE_MUTATION: throw new SQLExceptionInfo.Builder(SQLExceptionCode.CANNOT_MUTATE_TABLE) .setSchemaName(schemaName).setTableName(tableName).build().buildException(); case CONCURRENT_TABLE_MUTATION: addTableToCache(result); throw new ConcurrentTableMutationException(schemaName, tableName); case AUTO_PARTITION_SEQUENCE_NOT_FOUND: case CANNOT_COERCE_AUTO_PARTITION_ID: case UNABLE_TO_CREATE_CHILD_LINK: case PARENT_TABLE_NOT_FOUND: case TABLE_NOT_IN_REGION: <START> throwsSQLExceptionUtil(String.valueOf(code), schemaName, tableName); <END> case TOO_MANY_INDEXES: case UNABLE_TO_UPDATE_PARENT_TABLE: throwsSQLExceptionUtil(String.valueOf(code), SchemaUtil.getSchemaNameFromFullName( parent.getPhysicalName().getString()),SchemaUtil.getTableNameFromFullName( parent.getPhysicalName().getString())); default: throw new SQLException(""Exception occurred while creating table Mutation code:"" + code.toString()); } }",nice simplification,"public boolean handleCreateTableMutationCode(MetaDataMutationResult result, MutationCode code, CreateTableStatement statement, String schemaName, String tableName, PTable parent) throws SQLException { switch(code) { case TABLE_ALREADY_EXISTS: if(result.getTable() != null) { addTableToCache(result); } if(!statement.ifNotExists()) { throw new TableAlreadyExistsException(schemaName, tableName, result.getTable()); } return true; case NEWER_TABLE_FOUND: if (!statement.ifNotExists()) { throw new NewerTableAlreadyExistsException(schemaName, tableName, result.getTable()); } return false; case UNALLOWED_TABLE_MUTATION: throwsSQLExceptionUtil(""CANNOT_MUTATE_TABLE"",schemaName,tableName); case CONCURRENT_TABLE_MUTATION: addTableToCache(result); throw new ConcurrentTableMutationException(schemaName, tableName); case AUTO_PARTITION_SEQUENCE_NOT_FOUND: throw new SQLExceptionInfo.Builder(SQLExceptionCode.AUTO_PARTITION_SEQUENCE_UNDEFINED) .setSchemaName(schemaName).setTableName(tableName).build().buildException(); case CANNOT_COERCE_AUTO_PARTITION_ID: case UNABLE_TO_CREATE_CHILD_LINK: case PARENT_TABLE_NOT_FOUND: case TABLE_NOT_IN_REGION: throwsSQLExceptionUtil(String.valueOf(code), schemaName, tableName); case TOO_MANY_INDEXES: case UNABLE_TO_UPDATE_PARENT_TABLE: throwsSQLExceptionUtil(String.valueOf(code), SchemaUtil.getSchemaNameFromFullName( parent.getPhysicalName().getString()),SchemaUtil.getTableNameFromFullName( parent.getPhysicalName().getString())); default: throw new SQLExceptionInfo.Builder(SQLExceptionCode.UNEXPECTED_MUTATION_CODE) .setSchemaName(schemaName).setTableName(tableName).setMessage(""mutation code: "" + code).build().buildException(); } }"
16,"public void process(JSONRequestContext jsonRequestContext) { StudentGroupContactLogEntryDAO logEntryDAO = DAOFactory.getInstance().getStudentGroupContactLogEntryDAO(); try { Long entryId = jsonRequestContext.getLong(""entryId""); <START> StudentGroupContactLogEntry entry = logEntryDAO.findById(entryId); <END> String entryText = jsonRequestContext.getRequest().getParameter(""entryText""); String entryCreator = jsonRequestContext.getRequest().getParameter(""entryCreatorName""); Date entryDate = new Date(NumberUtils.createLong(jsonRequestContext.getRequest().getParameter(""entryDate""))); StudentContactLogEntryType entryType = StudentContactLogEntryType.valueOf(jsonRequestContext.getString(""entryType"")); logEntryDAO.update(entry, entryType, entryText, entryDate, entryCreator); Map<String, Object> info = new HashMap<String, Object>(); info.put(""id"", entry.getId()); info.put(""creatorName"", entry.getCreatorName()); info.put(""timestamp"", entry.getEntryDate().getTime()); info.put(""text"", entry.getText()); info.put(""type"", entry.getType()); info.put(""studentGroupId"", entry.getStudentGroup().getId()); jsonRequestContext.addResponseParameter(""results"", info); } catch (Exception e) { throw new SmvcRuntimeException(e); } }",Null-check,"public void process(JSONRequestContext jsonRequestContext) { StudentGroupContactLogEntryDAO logEntryDAO = DAOFactory.getInstance().getStudentGroupContactLogEntryDAO(); Long entryId = jsonRequestContext.getLong(""entryId""); if (entryId == null) throw new SmvcRuntimeException(StatusCode.UNDEFINED, ""EntryId was not defined.""); try { StudentGroupContactLogEntry entry = logEntryDAO.findById(entryId); String entryText = jsonRequestContext.getString(""entryText""); String entryCreator = jsonRequestContext.getString(""entryCreatorName""); Date entryDate = jsonRequestContext.getDate(""entryDate""); StudentContactLogEntryType entryType = StudentContactLogEntryType.valueOf(jsonRequestContext.getString(""entryType"")); logEntryDAO.update(entry, entryType, entryText, entryDate, entryCreator); Map<String, Object> info = new HashMap<String, Object>(); info.put(""id"", entry.getId()); info.put(""creatorName"", entry.getCreatorName()); info.put(""timestamp"", entry.getEntryDate() != null ? entry.getEntryDate().getTime() : """"); info.put(""text"", entry.getText()); info.put(""type"", entry.getType()); info.put(""studentGroupId"", entry.getStudentGroup().getId()); jsonRequestContext.addResponseParameter(""results"", info); } catch (Exception e) { throw new SmvcRuntimeException(e); } }"
17,"private void execute() { if (fFinishedLatch.getCount() == 0) { return; } synchronized (syncObj) { if (fStarted) { return; } fStarted = true; } if (fTrace != null) { fTrace.notifyPendingRequest(true); } fJob = new Job(NLS.bind(Messages.TmfAbstractAnalysisModule_RunningAnalysis, getName())) { @Override protected IStatus run(final IProgressMonitor monitor) { try { monitor.beginTask("""", IProgressMonitor.UNKNOWN); broadcast(new TmfStartAnalysisSignal(TmfAbstractAnalysisModule.this, TmfAbstractAnalysisModule.this)); fAnalysisCancelled = !executeAnalysis(monitor); if (fTrace != null) { <START> fTrace.notifyPendingRequest(false); <END> } } catch (TmfAnalysisException e) { Activator.logError(""Error executing analysis with trace "" + getTrace().getName(), e); } finally { synchronized (syncObj) { monitor.done(); setAnalysisCompleted(); } } if (!fAnalysisCancelled) { return Status.OK_STATUS; } return Status.CANCEL_STATUS; } @Override protected void canceling() { TmfAbstractAnalysisModule.this.canceling(); } }; fJob.schedule(); }","I I this is this relies analysis module's developer forget decrement request flag else blocks forever. default behavior is block. add a function analysisHasRequest() { return false; } notifyPendingRequest(true) occur if analysisHasRequest is true. way, developer controls calls. if overwrites method decrement pending request flag. And, if ignores methods, a request, then, well... coalesced end of world. catch a review if code gerrit ;-)","private void execute() { if (fFinishedLatch.getCount() == 0) { return; } synchronized (syncObj) { if (fStarted) { return; } fStarted = true; } if (fTrace != null) { fTrace.notifyPendingRequest(true); setNotifyRequestNeeded(true); } fJob = new Job(NLS.bind(Messages.TmfAbstractAnalysisModule_RunningAnalysis, getName())) { @Override protected IStatus run(final IProgressMonitor monitor) { try { monitor.beginTask("""", IProgressMonitor.UNKNOWN); broadcast(new TmfStartAnalysisSignal(TmfAbstractAnalysisModule.this, TmfAbstractAnalysisModule.this)); fAnalysisCancelled = !executeAnalysis(monitor); if ((fTrace != null) && isNotifyRequestNeeded()) { fTrace.notifyPendingRequest(false); setNotifyRequestNeeded(false); } } catch (TmfAnalysisException e) { Activator.logError(""Error executing analysis with trace "" + getTrace().getName(), e); } finally { synchronized (syncObj) { monitor.done(); setAnalysisCompleted(); } } if (!fAnalysisCancelled) { return Status.OK_STATUS; } return Status.CANCEL_STATUS; } @Override protected void canceling() { TmfAbstractAnalysisModule.this.canceling(); } }; fJob.schedule(); }"
18,"public int execute() throws HiveException { DataOutputStream outStream = getOutputStream(ddlDesc.getResFile()); try { Database database = db.getDatabase(ddlDesc.getDatabaseName()); if (database == null) { throw new HiveException(ErrorMsg.DATABASE_NOT_EXISTS, ddlDesc.getDatabaseName()); } Map<String, String> params = null; if (ddlDesc.isExt()) { params = database.getParameters(); } if (HiveConf.getBoolVar(conf, HiveConf.ConfVars.HIVE_IN_TEST) && params != null) { params = new TreeMap<String, String>(params); } String location = database.getLocationUri(); if (HiveConf.getBoolVar(conf, HiveConf.ConfVars.HIVE_IN_TEST)) { location = ""location/in/test""; } <START> <END> PrincipalType ownerType = database.getOwnerType(); formatter.showDatabaseDescription(outStream, database.getName(), database.getDescription(), location, database.getOwnerName(), (null == ownerType) ? null : ownerType.name(), params); } catch (Exception e) { throw new HiveException(e, ErrorMsg.GENERIC_ERROR); } finally { IOUtils.closeStream(outStream); } return 0; }",do this alwregardless in test; this means is order in desc command outputs props is undefined running tests..,"public int execute() throws HiveException { try (DataOutputStream outStream = getOutputStream(new Path(desc.getResFile()))) { Database database = context.getDb().getDatabase(desc.getDatabaseName()); if (database == null) { throw new HiveException(ErrorMsg.DATABASE_NOT_EXISTS, desc.getDatabaseName()); } Map<String, String> params = null; if (desc.isExt()) { params = database.getParameters(); } if (HiveConf.getBoolVar(context.getConf(), HiveConf.ConfVars.HIVE_IN_TEST) && params != null) { params = new TreeMap<String, String>(params); } String location = database.getLocationUri(); if (HiveConf.getBoolVar(context.getConf(), HiveConf.ConfVars.HIVE_IN_TEST)) { location = ""location/in/test""; } PrincipalType ownerType = database.getOwnerType(); context.getFormatter().showDatabaseDescription(outStream, database.getName(), database.getDescription(), location, database.getOwnerName(), (null == ownerType) ? null : ownerType.name(), params); } catch (Exception e) { throw new HiveException(e, ErrorMsg.GENERIC_ERROR); } return 0; }"
19,"public boolean isMatch(String relativeTarget, boolean isDirectory) { if (relativeTarget == null) { return false; } relativeTarget = <START> stripTrailing(relativeTarget, <END> FastIgnoreRule.PATH_SEPARATOR); if (relativeTarget.length() == 0) { return false; } boolean match = matcher.matches(relativeTarget, isDirectory); return match; }","I decided strip trailing slashes here. caller care if is ""dir"" ""dir/"", get ""native git"" behavior. I decided do this in PathMatcher, is more generic this implications ignore rules, I overlook right now","public boolean isMatch(String relativeTarget, boolean isDirectory) { if (relativeTarget == null) return false; if (relativeTarget.length() == 0) return false; boolean match = matcher.matches(relativeTarget, isDirectory); return match; }"
20,"private void connector(IProject prj) { try { IRemoteConnection irc = Util.getRemoteConnection(prj); if(irc == null) return; <START> Activator.log(""Connection for project: '"" + prj.getName() + ""' is '"" + irc + ""'""); END> Activator.log(""Connection address is "" + irc.getAddress()); final ITerminalView tvr = (ITerminalView) PlatformUI.getWorkbench() .getActiveWorkbenchWindow().getActivePage() .showView(""org.eclipse.tm.terminal.view.TerminalView""); ITerminalConnector[] itcarray = TerminalConnectorExtension .makeTerminalConnectors(); int remoteTools = -1; for (int i = 0; i < itcarray.length; i++) { if(""Remote Tools"".equals(itcarray[i].getName()) || ""Remote Services"".equals(itcarray[i].getName()) || ""org.eclipse.ptp.remote.internal.terminal.RemoteToolsConnector"".equals(itcarray[i].getId())) { remoteTools = i; break; } } if(itcarray.length==0) { Activator.log(""Could not find a terminal connection for ""+prj.getName()); return; } if(remoteTools >= 0) { final ITerminalConnector inner = itcarray[remoteTools]; Activator.log(""inner=""+inner.getId()+"",""+inner.getName()+"",""+inner.getSettingsSummary()); ITerminalConnector connector = inner; ISettingsStore store = new HashSettingsStore(); connector.save(store); store.put(RemoteSettings.PROJECT_NAME, prj.getName()); connector.load(store); tvr.newTerminal(connector); } } catch (CoreException e1) { Activator.log(e1); } }",Logging needs conditional a debug option removed,"private void connector(IProject prj) { try { IRemoteConnection irc = Util.getRemoteConnection(prj); if(irc == null) return; final ITerminalView tvr = (ITerminalView) PlatformUI.getWorkbench() .getActiveWorkbenchWindow().getActivePage() .showView(""org.eclipse.tm.terminal.view.TerminalView""); final ITerminalConnector inner = TerminalConnectorExtension.makeTerminalConnector(""org.eclipse.ptp.remote.internal.terminal.RemoteToolsConnector""); ITerminalConnector connector = inner; ISettingsStore store = new HashSettingsStore(); connector.save(store); store.put(RemoteSettings.PROJECT_NAME, prj.getName()); connector.load(store); tvr.newTerminal(connector); } catch (CoreException e1) { Activator.log(e1); } }"
21,"private WaiterTimeoutCallback(final Callback<T> callback) { _timeout = new SingleTimeout<>(_timeoutExecutor, _waiterTimeout, TimeUnit.MILLISECONDS, callback, (callback1) -> { synchronized (_lock) { _waiters.remove(this); _statsTracker.incrementWaiterTimedOut(); } LOG.debug(""{}: failing waiter due to waiter timeout"", _poolName); <START> callback1.onError( <END> new WaiterTimeoutException( ""Exceeded waiter timeout of "" + _waiterTimeout + ""ms: in Pool: ""+ _poolName)); }); }","I put a number in callback variable, like: callbackIfTimeout","private WaiterTimeoutCallback(final Callback<T> callback) { _timeout = new SingleTimeout<>(_timeoutExecutor, _waiterTimeout, TimeUnit.MILLISECONDS, callback, (callbackIfTimeout) -> { synchronized (_lock) { _waiters.remove(this); _statsTracker.incrementWaiterTimedOut(); } LOG.debug(""{}: failing waiter due to waiter timeout"", _poolName); callbackIfTimeout.onError( new WaiterTimeoutException( ""Exceeded waiter timeout of "" + _waiterTimeout + ""ms: in Pool: ""+ _poolName)); }); }"
